número CNJ;tribunal;classe;data de ajuizamento;suscitante;suscitado(s);tipo (greve, econômico, jurídico, revisional);relator;situação/resultado (acordo, sentença normativa, extinto, pendente);ano de vigência do ACT/DC;fonte (URL);nível de confiança (confirmado em fonte primária / só notícia / não verificado)
1000422-59.2025.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;CONFEDERAÇÃO NACIONAL DOS TRABALHADORES DO RAMO FINANCEIRO;CAIXA ECONÔMICA FEDERAL GVPMGD/rmc D E S P A C H O Trata-se de Dissídio Coletivo de Greve suscitado pela CONFEDERAÇÃO NACIONAL DOS TRABALHADORES DO RAMO FINANCEIRO em desfavor de CAIXA ECONÔMICA FEDERAL , o qual, na forma do Regimento Inter...;Greve;Mauricio Godinho Delgado;Acordo Homologado;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10004225920255000000;confirmado em fonte primária
1000601-90.2025.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO NACIONAL DOS TRABALHADORES NA INDUSTRIA MOEDEIRA;CASA DA MOEDA DO BRASIL CMB DECISÃO Após intenso movimento negocial, tendo todo os envolvidos mantido sempre postura respeitosa e colaborativa, foi possível avançarem no diálogo a ponto de celebrarem Acordo Coletivo de Trabalho (Id 60fc354)...;Jurídico;Guilherme Augusto Caputo Bastos;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10006019020255000000;confirmado em fonte primária
1001249-70.2025.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;JEFERSON PIPE INFRAESTRUTURA LTDA;SIND DOS TRAB NAS IND DA CONST E DO MOB DE S J CAMPOS IGM/wh/as D E C I S Ã O Trata-se de Dissídio Coletivo de Greve , com pedido de tutela de urgência , aforado por Jeferson Pipe Infraestrutura Ltda., em face do SINTRICOM - Sindicato dos T...;Greve;Ives Gandra Da Silva Martins Filho;Greve Julgada Abusiva;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10012497020255000000;confirmado em fonte primária
1000513-86.2024.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;FEDERACAO INTERESTADUAL DE SINDICATOS DE ENGENHEIROS e outros (1);CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS e outros (1) GVPMGD/fr D E S P A C H O 1-Nos termos das reuniões unilaterais havidas com cada uma das partes em 27.11.2024 ficou acertado que as mesmas encaminhariam, por email a Vice-Presidência...;Greve;Lelio Bentes Correa;Extinto sem Resolução de Mérito;2024/2026;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10005138620245000000;confirmado em fonte primária
1000517-26.2024.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;FEDERACAO NACIONAL TRABALHADORES INDUSTRIAS URBANAS;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS;Greve;Aloysio Silva Correa Da Veiga;Pendente;2024/2026;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10005172620245000000;confirmado em fonte primária
1000522-48.2024.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;SINDICATO DOS TRABALHADORES NAS EMPRESAS DE ENERGIA DO RIO DE JANEIRO E REGIAO - SINTERGIA/RJ e outros (8);FURNAS-CENTRAIS ELETRICAS S.A. e outros (1) GVPMGD/rmc D E S P A C H O Trata-se de Dissídio Coletivo de Greve suscitado por SINDICATO DOS TRABALHADORES NAS EMPRESAS DE ENERGIA DO RIO DE JANEIRO E REGIÃO - SINTERGIA/RJ e outros (8) em desfav...;Greve;Lelio Bentes Correa;Pendente;2024/2026;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10005224820245000000;confirmado em fonte primária
1000605-64.2024.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO NACIONAL DOS TRABALHADORES NA INDUSTRIA MOEDEIRA;CASA DA MOEDA DO BRASIL CMB GVPMGD/rmc D E C I S Ã O Após intenso movimento negocial, marcado pela postura respeitosa e colaborativa de todos os envolvidos, as partes lograram êxito na celebração do Acordo Coletivo de Trabalho (ACT), cujo i...;Jurídico;Mauricio Godinho Delgado;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10006056420245000000;confirmado em fonte primária
1001090-64.2024.5.00.0000;TST;Dissídio Coletivo (DC);;SINDICATO NACIONAL DOS CONDUTORES DA MARINHA MERCANTE E AFINS;PETROBRAS TRANSPORTE S.A - TRANSPETRO;Econômico;Guilherme Augusto Caputo Bastos;Acordo Homologado;2023/2025;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10010906420245000000;confirmado em fonte primária
1001107-03.2024.5.00.0000;TST;Dissídio Coletivo (DC);2025-06-02;(...) Também se mostra evidente que a finalidade pretendida pelo Suscitante não é resolver controvérsia acerca da interpretação de norma coletiva, mas se insurgir contra Ação de Cumprimento ajuizada há mais de três décadas, em que as divers...;FED NAC EMPREG EMP PROCES DADOS SERV DE INF SIMILARES SUSCITADO: SINDICATO DOS E E E DE P.DE D S DE INFORMATICA S EST MG;Jurídico;Maria Cristina Irigoyen Peduzzi;Extinto sem Resolução de Mérito;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10011070320245000000;confirmado em fonte primária
1022295-95.2024.5.02.0000;TRT-02 (SP);Recurso Ordinário Trabalhista (ROT);2026-06-08;Entidade Sindical Profissional;IPT;Econômico;Maria Cristina Irigoyen Peduzzi;Extinto sem Resolução de Mérito;2024/2025;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
