número CNJ;tribunal;classe;data de ajuizamento;suscitante;suscitado(s);tipo (greve, econômico, jurídico, revisional);relator;situação/resultado (acordo, sentença normativa, extinto, pendente);ano de vigência do ACT/DC;fonte (URL);nível de confiança (confirmado em fonte primária / só notícia / não verificado)
1000279-36.2026.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2026-04-13;Empresa Brasileira de Serviços Hospitalares (EBSERH);CONFEDERAÇÃO DOS TRABALHADORES NO SERVIÇO PÚBLICO FEDERAL;Greve;Mauricio Godinho Delgado;Acordo Homologado;2026/2027;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10002793620265000000;confirmado em fonte primária
1000481-13.2026.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;Casa da Moeda do Brasil (CMB);SINDICATO NACIONAL DOS TRABALHADORES NA INDUSTRIA MOEDEIRA;Greve;Guilherme Augusto Caputo Bastos;Pendente;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10004811320265000000;confirmado em fonte primária
1000656-41.2025.5.00.0000;TST;Dissídio Coletivo (DC);;Serviço Federal de Processamento de Dados (SERPRO);FED NAC EMPREG EMP PROCES DADOS SERV DE INF SIMILARES;Greve;Aloysio Silva Correa Da Veiga;Extinto sem Resolução de Mérito;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10006564120255000000;confirmado em fonte primária
1001307-73.2025.5.00.0000;TST;Dissídio Coletivo (DC);2025-12-30;Empresa Brasileira de Correios e Telégrafos (ECT);FED NAC DOS TRAB EM EMPRESAS CORREIOS TELEG E SIMILARES e FEDERACAO DOS TRABALHADORES DA EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS E DAS EMPRESAS DE COMUNICACOES;Greve;Kátia Magalhães Arruda;Greve Julgada Não Abusiva;;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10013077320255000000;confirmado em fonte primária
1001308-58.2025.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;Petróleo Brasileiro S.A. - PETROBRAS;FEDERACAO UNICA DOS PETROLEIROS SUSCITADO : SINDICATO DOS PETROLEIROS DO NORTE FLUMINENSE SUSCITADO : FEDERACAO NACIONAL DOS PETROLEIROS -FNP SUSCITADO : SINDICATO TRABALHADORES EMPR PROPRIAS CONT IND TRANSP PETROLEO GAS MAT PRIMAS DERIV PE...;Greve;Luiz Philippe Vieira De Mello Filho;Greve Julgada Abusiva;2023/2025;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10013085820255000000;confirmado em fonte primária
1001309-43.2025.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;Petrobras Transporte S.A. - TRANSPETRO;FEDERACAO UNICA DOS PETROLEIROS SUSCITADO : SINDICATO DOS PETROLEIROS DO NORTE FLUMINENSE;Greve;Luiz Philippe Vieira De Mello Filho;Acordo Homologado;2025/2027;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10013094320255000000;confirmado em fonte primária
0082677-16.2024.5.22.0000;TRT-22 (PI);Recurso Ordinário Trabalhista (ROT);2025-05-12;Empresa de Gestão de Recursos do Estado do Piauí - EMGERPI;"""(...) RECURSO ORDINÁRIO - EMPRESA DE GESTÃO DE RECURSOS DO ESTADO DO PIAUÍ S.A - EMGERPI - DISSÍDIO COLETIVO DE NATUREZA ECONÔMICA – (...) CLÁUSULA XV - AUXÍLIO DOENÇA - CLÁUSULA XVI - AUXÍLIO EDUCAÇÃO/REABILITAÇÃO - CLÁUSULA XVII - INDENI...";Econômico;Maria Cristina Irigoyen Peduzzi;Sentença Normativa;;https://jurisprudencia.tst.jus.br;confirmado em fonte primária
1000803-04.2024.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);;Serviço Federal de Processamento de Dados (SERPRO);FED NAC EMPREG EMP PROCES DADOS SERV DE INF SIMILARES (FENTEC) GVPMGD/rmc DECISÃO Após intenso movimento negocial, tendo todos os envolvidos mantido sempre postura respeitosa e colaborativa, foi possível avançarem no diálogo aponto de celeb...;Greve;Mauricio Godinho Delgado;Pendente;2024/2025;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10008030420245000000;confirmado em fonte primária
1000012-06.2022.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2023-10-09;Furnas Centrais Elétricas S.A.;STI DE ENERGIA ELETRICA DO NORTE E NOROESTE FLUMINENSE;Greve;Alexandre De Souza Agra Belmonte;Sentença Normativa;2022/2024;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10000120620225000000;confirmado em fonte primária
1000024-20.2022.5.00.0000;TST;Dissídio Coletivo de Greve (DCG);2022-09-12;Centrais Elétricas Brasileiras S.A. - ELETROBRAS;STI DE ENERGIA ELETRICA DO NORTE E NOROESTE FLUMINENSE, SINDICATO DOS TRABALHADORES NA INDUSTRIA DE ENERGIA ELETRICA NOS MUNICIPIOS DE PARATI E ANGRA DOS REIS, SINDICATO DOS ADMINISTRADORES NO EST DO RIO DE JANEIRO, SINDICATO DOS ENGENHEIRO...;Greve;Alexandre De Souza Agra Belmonte;Acordo Homologado;2022/2024;https://consultaprocessual.tst.jus.br/consultaProcessual/resumoForm.do?consulta=1&numeroProcesso=10000242020225000000;confirmado em fonte primária
